,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,15.7,6.8157324683228095,43.68744,10.1538569987951,13.869000000000002,71.465259275
1,DTE.N,Utilities,6.9,3.53462169847479,10.31414,3.9271720290463703,4.16167,57.061580993
2,LOW.N,Consumer Discretionary,19.25,8.20382689334529,312.29037999999997,10.592273005877699,13.96667,81.658025872
3,WBA.OQ,Consumer Staples,17.73333,3.2766999598942,22.353379999999998,7.02439514904895,5.08533,35.041133233000004
4,MAR.OQ,Consumer Discretionary,40.7,9.57269077970948,237.03117000000003,9.73861506089982,7.0,80.772554442
5,EMR.N,Industrials,24.75,9.36951655642964,26.528570000000002,10.1447170933741,8.129,34.618181818000004
6,WEC.N,Utilities,6.3,1.8466612843319399,11.5088,2.9607518765420098,5.81767,54.51995675
7,LEG.N,Consumer Discretionary,,7.83074191964172,27.0,8.87742345534582,5.2,50.470648639
8,REG.OQ,Real Estate,4.1,5.74605100905429,4.27,5.517528110232839,,36.547694233
9,MS.N,Financials,,3.4075479386377205,11.44762,10.2092017205839,11.15033,84.3616908876
10,BLK.N,Financials,22.4,7.68793489189652,13.611670000000002,11.4498239402,6.207000000000001,12.926088424000001
11,WYNN.OQ,Consumer Discretionary,15.7,8.04351682665906,38.71438,13.880939347618,,83.874833187
12,HOLX.OQ,Health Care,14.45,7.83371449802414,23.79167,6.58783150094046,8.87,57.801831228000005
13,BRKb.N,Financials,,5.5339935650600305,7.79333,7.356026635108121,23.3,21.664925887
14,DVN.N,Energy,2.9,11.166831361514001,14.03825,16.1532561195932,42.7945,32.653958944
15,ALLE.N,Industrials,24.03333,4.4991535592596605,50.979,9.103792272165169,9.004,68.839336764
16,PEAK.N,Real Estate,4.8,4.3471403468886605,4.486669999999999,4.09215714207044,,46.090049756999996
17,DLTR.OQ,Consumer Discretionary,11.8,5.540707632432389,19.135,5.423681698194961,7.5246,43.048182313999995
18,PAYX.OQ,Information Technology,85.4,6.3684326491867,42.15371,7.80569825788625,9.5,0.0
19,AAL.OQ,Industrials,13.166670000000002,5.24285028807697,111.52017,12.5475811525652,14.467,100.695358789
20,TER.OQ,Information Technology,,9.2342163896486,37.162,11.6775453445593,9.635,19.974452449
21,WDC.OQ,Information Technology,3.7,8.168612374028879,7.706169999999999,12.186443940683802,,49.209355592
22,PWR.N,Industrials,,7.66738496871102,11.3254,9.37731690534087,12.527000000000001,23.477602554
23,XOM.N,Energy,4.75,6.92690600360099,12.158380000000001,8.093052305673961,12.27567,15.993297338
24,CMA.N,Financials,,7.352894853955821,17.55915,11.0754921943031,4.0,
25,DISCK.OQ,Communication Services,12.5,5.477378342752,19.735,11.232141979560799,9.8,61.490296595
26,NDAQ.OQ,Financials,16.8,5.43935284031489,14.442860000000001,6.08531412385828,6.25333,41.282327586
27,DPZ.N,Consumer Discretionary,63.73333,3.4954174702643996,-15.4725,5.30135376056321,14.566670000000002,718.293627952
28,HES.N,Energy,7.05,10.4319734372461,4.45883,14.0519297431916,,37.995444191
29,BXP.N,Real Estate,,5.50856586766186,9.6,7.949229922988651,,57.267269197
30,BEN.N,Financials,38.7,6.61731683319838,13.258329999999999,9.317114135270911,-2.47125,6.08096828
31,APA.OQ,Energy,6.5,11.8480481147075,7.5052,13.1390299099483,28.2935,48.33489681
32,AMAT.OQ,Information Technology,32.5,9.29126653906239,37.37157,12.162123486592,8.495,43.681092643999996
33,FLT.N,Information Technology,,8.64509972159831,26.011429999999997,9.216736466209438,15.30667,59.062543547
34,ZION.OQ,Financials,,8.092220599711741,12.26574,11.3926912721627,7.5,
35,RF.N,Financials,,8.85190816139897,10.936060000000001,11.439542828719,,
36,DISH.OQ,Communication Services,3.6,8.365583043037809,7.9608300000000005,11.094845082904902,-26.044,62.596586595
37,PEG.N,Utilities,,3.4434733645347295,11.4258,4.81391206054412,5.405,51.843912241999995
38,ALL.N,Financials,,5.670796319137501,14.649000000000001,7.179513078099941,11.24,23.235961530999997
39,SLB.N,Energy,9.4,10.8454803230347,8.19625,10.840147714735998,,30.493759143000002
40,PGR.N,Financials,,3.85200706647637,22.404,6.473252723600429,15.789000000000001,28.526927959000002
41,NOV.N,Energy,4.75,10.1970837809765,1.819,9.89431316292308,,16.331325301
42,SWKS.OQ,Information Technology,33.13333,8.21260945828819,25.71625,7.838454047418719,10.13333,0.0
43,EL.N,Consumer Staples,27.76714,6.11501751081285,45.69567,6.92645916724715,12.972999999999999,42.936757935
44,NOC.N,Industrials,19.0,4.9123311286439195,36.36071,6.949522437327451,7.402,63.753486519
45,PKG.N,Materials,17.0,,21.6825,12.9990299223701,3.685,48.360418156
46,CSX.OQ,Industrials,14.1,6.96662230119126,31.2148,9.84386735497418,11.517000000000001,53.981782932
