,Instrument,GICS Sector Name,Net Income - Mean,EBITDA Reported - Mean,EBIT - Mean,Total Equity,Company Market Cap,Enterprise Value (Daily Time Series)
0,SHW.N,Materials,1189831180,,1825209690,996470000,27393079946.5799,29178110946.58
1,DTE.N,Utilities,894976000,2670880000,1666134440,8327000000,14157752497.86,23139752497.86
2,LOW.N,Consumer Discretionary,3502514830,7610925000,6192077910,9968000000,72422400000.0,82006400000.0
3,WBA.OQ,Consumer Staples,4793612940,8738880000,7155143290,20513000000,94577197215.8199,96377197215.82
4,MAR.OQ,Consumer Discretionary,980395570,1844388890,1553551290,-2200000000,23173970061.3299,26840970061.33
5,EMR.N,Industrials,2661486180,5230316670,4198690870,10119000000,38528902274.7,42222902274.7
6,WEC.N,Utilities,689088670,1588960000,1160808600,4450100000,11062861920.44,16243761920.44
7,LEG.N,Consumer Discretionary,329640000,,494175000,1146500000,6323878640.88,6968778640.88
8,REG.OQ,Real Estate,114609400,347070000,223592800,1906592000,6246269777.16,8508740777.16
9,MS.N,Financials,6389292850,,9882467830,70900000000,72600992074.11,442188992074.11
10,BLK.N,Financials,3870283710,5655000000,5523910130,27366000000,61874724470.7199,60949724470.72
11,WYNN.OQ,Consumer Discretionary,758976060,1767854000,1316746940,-28779000,12756188912.1549,17919016912.155
12,HOLX.OQ,Health Care,496660260,918102500,900552500,2063000000,9103991528.28,12514791528.28
13,BRKb.N,Financials,20577000000,,,240170000000,360199186983.16,379677186983.16
14,DVN.N,Energy,900977450,5101865000,1670938720,21539000000,24152125000.0,38736125000.0
15,ALLE.N,Industrials,318709780,505750000,436716000,-4800000,5639576707.38,6636976707.38
16,PEAK.N,Real Estate,1104020570,-206100000,1388452500,10735297000,18717991812.0,28650877812.0
17,DLTR.OQ,Consumer Discretionary,805987000,1443200000,1333520930,1785000000,17224158215.44,17042758215.44
18,PAYX.OQ,Information Technology,731449650,1233713330,1142913050,1777000000,18526460971.65,13964760971.65
19,AAL.OQ,Industrials,6240641270,8509160000,8226251070,2021000000,34985755467.0,45727755467.0
20,TER.OQ,Information Technology,280710110,566810000,377145500,2078980000,4323008608.65,3494965608.65
21,WDC.OQ,Information Technology,2057371570,3274935000,2245177670,8842000000,22687296540.6,19919296540.6
22,PWR.N,Industrials,512705170,957782500,737457000,4514473000,5954691212.8,5856608212.8
23,XOM.N,Energy,22999983940,70056000000,40186980100,174399000000,355101180197.92,386271180197.92
24,CMA.N,Financials,616422140,,1052918690,7402000000,8210763618.84,9975763618.84
25,DISCK.OQ,Communication Services,1302667330,2807990500,2232936670,5602000000,13973695184.5736,21466695184.573997
26,NDAQ.OQ,Financials,614682690,,1030962600,5793000000,8595599896.35,10292599896.35
27,DPZ.N,Consumer Discretionary,217376830,,431672580,-1219465000,5647247544.51,7117556544.51
28,HES.N,Energy,232679000,3625000000,268204500,22205000000,19816938054.12,23488938054.12
29,BXP.N,Real Estate,319051000,1532832250,769474290,5697298000,21025039686.75,31859907686.75
30,BEN.N,Financials,2412704770,3398000000,3373732500,11584100000,33205550692.8,28092550692.8
31,APA.OQ,Energy,728845140,5923020000,1851009390,25937000000,22547282514.0,36450282514.0
32,AMAT.OQ,Information Technology,1900173430,2537065000,2329597430,7868000000,30189078459.54,29049078459.54
33,FLT.N,Information Technology,693612900,1119450000,955713830,2618562000,13766274780.16,17226940780.16
34,ZION.OQ,Financials,398126920,,795475060,7369530000,5575623356.24,7052041356.24
35,RF.N,Financials,1149042740,,1929316440,16873000000,13266924969.48,17764924969.48
36,DISH.OQ,Communication Services,816326280,2915734000,1873626940,2013009000,33962955329.06,39194863329.06
37,PEG.N,Utilities,1459024390,4244203330,2781203500,12185000000,20877295282.34,29620295282.34
38,ALL.N,Financials,2436949990,,3394513670,22304000000,29353909976.6499,37328909976.65
39,SLB.N,Energy,5299833060,12298914290,7111161030,37850000000,103842675282.9,109870675282.9
40,PGR.N,Financials,1102902610,,1394973780,6928600000,15888522000.0,17944822000.0
41,NOV.N,Energy,1463674390,2928500000,2183068820,20692000000,19951540148.92,19634540148.92
42,SWKS.OQ,Information Technology,1080391880,224100000,1256436500,2532400000,18467546825.04,17417646825.04
43,EL.N,Consumer Staples,1255291480,2364350000,1871954100,3854900000,30680472848.7,30708972848.7
44,NOC.N,Industrials,1944364570,3442752500,3092745070,7235000000,32010791610.66,34081791610.66
45,PKG.N,Materials,550197200,929030000,939939200,1521400000,7690965018.059991,9945365018.06
46,CSX.OQ,Industrials,2337790550,5516142500,4497846820,11152000000,34368542985.5399,43173542985.54
47,MSCI.N,Financials,272359600,499672000,428858000,1432833000,6508066825.5,6787625825.5
48,CERN.OQ,Health Care,877923320,1743651000,1303916580,3565968000,24519044273.1499,23228626273.15
49,MGM.N,Consumer Discretionary,348919200,3684562000,1559599810,4090917000,9659218652.28,24963465652.28
50,ANSS.OQ,Information Technology,357889910,482000000,509689700,2217501000,7781635748.44,6992774748.44
51,UNH.N,Health Care,6496627840,13029433630,13251693720,32454000000,113031950481.72,124330950481.72
52,ALGN.OQ,Health Care,177614000,239623000,232598670,752771000,4547778490.62,4093120490.62
53,NLSN.N,Industrials,1097024730,1964911110,1397297800,5056000000,16021238266.82,22637238266.82
54,TTWO.OQ,Communication Services,151151270,197900000,198510330,801806000,2179242177.8399897,1673070177.84
55,BIO.N,Health Care,110228000,,191787000,2185155000,3958385380.876,3696725380.876
56,CAG.N,Consumer Staples,977207330,2217000000,1625871250,5258500000,14703410551.28,23321110551.28
57,XLNX.OQ,Information Technology,620477000,868416670,742652830,2787681000,10826119586.8399,9473237586.84
58,INCY.OQ,Health Care,187504100,366000000,236672630,-81628000,15678763146.48,15753667146.48
59,ADBE.OQ,Information Technology,1671001350,2102360000,2149738630,6775905000,39237284803.92,37012108803.92
60,NTRS.OQ,Financials,1003607410,,1534060000,8448900000,16790276658.87,111777676658.87
61,SPGI.N,Financials,1331045600,2374500000,2369500910,488000000,29017289383.98,28173289383.98
62,CVX.N,Energy,12723897060,45573333330,22483598000,155028000000,193903006920.86,209669006920.86
63,AIZ.N,Financials,431046170,,704291670,5181307000,4233603069.75,4086026069.75
64,PRGO.N,Health Care,,,,8692900000,24181266664.16,25366866664.16
65,CNC.N,Health Care,376792210,765730000,727955940,1744000000,8003681446.349991,7242681446.35
66,AKAM.OQ,Information Technology,572663430,1055593800,835081620,2945335000,12890336483.76,12736895483.76
67,COG.N,Energy,368859520,1365415000,728329680,2142733000,11671829899.46,13402875899.46
68,BIIB.OQ,Health Care,4613058660,7274120000,6132621110,10809000000,98847770185.68,97590770185.68
69,K.N,Consumer Staples,1330446860,2935000000,2074146070,2789000000,22382918456.68,29371918456.68
70,EQIX.OQ,Real Estate,334340580,1320302100,668124590,2270131000,13335704949.22,16821614949.22
71,DD.N,Materials,,,,,,
72,WFC.N,Financials,23308332210,,39971458000,184394000000,286763471221.12,534734471221.12
73,SJM.N,Consumer Staples,578940820,1190400000,932679460,5029600000,11375021639.52,13443121639.52
74,ZBRA.OQ,Information Technology,291502600,601000000,490920750,,4600339326.1,4058419326.1
75,CPRT.OQ,Industrials,247250130,,390928880,1003499000,4770564296.96,4864605296.96
76,BFb.N,Consumer Staples,731776130,1148000000,1066036930,2032000000,18837505405.04,19593505405.04
77,NOW.N,Information Technology,86390040,133260000,113279830,428675000,11836825000.0,11611471000.0
78,TT.N,Industrials,1188434820,2136000000,1805516890,5987400000,18063859976.3999,20641059976.4
79,IBM.N,Information Technology,15543389610,22819940000,19350413250,11868000000,155261668937.76,187629668937.76
80,PAYC.N,Information Technology,22054780,43968330,35435780,74138000,1720446603.3,1722280603.3
81,DXC.N,Information Technology,685805070,1976650000,1158285940,3912000000,9516411875.49,9872411875.48999
82,NFLX.OQ,Communication Services,347598340,1304397250,638913460,1857708000,25528375661.54,24835328661.54
83,GL.N,Financials,569323550,,765166750,4697466000,6907663149.52,8072172149.52
84,HON.N,Industrials,5347693820,8943200000,7571342820,17657000000,80233045433.82,80158045433.82
85,APTV.N,Consumer Discretionary,1797435500,3006521430,2385443000,2510000000,22779480000.0,24874480000.0
86,GIS.N,Consumer Staples,1812661880,3598315000,2949889530,6534800000,31241074698.78,42221074698.78
87,NRG.N,Utilities,198857860,3032336670,1496682630,10053000000,8018023901.78,28301023901.78
88,SEE.N,Materials,508837250,774500000,929425150,1162800000,9764101180.6,13904001180.6
89,ROST.OQ,Consumer Discretionary,1070352760,2080115000,1732295440,2279210000,22170229140.6,21994622140.6
90,BMY.N,Health Care,3782940770,5143663330,4290734560,14852000000,113383492546.21,113911492546.21
91,ALB.N,Materials,455658930,1019060000,723487140,1359465000,5921975178.93,6495508178.93
92,APD.N,Materials,1594591670,3315060000,2130148930,7365800000,32704647488.35,38995347488.35
93,DOW.N,Materials,,,,,,
94,REGN.OQ,Health Care,1509693110,1934265000,2045699560,2550251000,46359264922.74,45916495922.74
95,XRX.N,Information Technology,1251308600,,1866069220,11027000000,14336254197.45,21090254197.45
96,OXY.N,Energy,2570331750,9355000000,4587295000,34959000000,56336108992.23,59385108992.23
97,VTR.N,Real Estate,674054670,2137525000,1154915670,8852200000,23391036319.0,34254252319.0
98,PNW.N,Utilities,454348750,1405650000,896670330,4367493000,7004687978.75,10686235978.75
99,AFL.N,Financials,2659651640,,2746000000,18347000000,27602027405.12,28226027405.12
100,AON.N,Financials,1880861940,2954000000,2400193140,6571000000,27674739047.5,32732739047.5
101,LMT.N,Industrials,3834847500,7394440000,5953048930,3400000000,63923667506.37,68619667506.37
102,ZTS.N,Health Care,941685390,1651000000,1420860690,1311000000,23521233196.62,26296233196.62
103,ABC.N,Health Care,1204917460,2049500000,1992429820,1956899000,24185098319.61,23882227319.61
104,CDNS.OQ,Information Technology,350525710,,470004290,1333574000,5418524150.96,4563163150.96
105,EA.OQ,Communication Services,840991950,634500000,1115876190,2422000000,17304653423.61,14997653423.61
106,ORLY.OQ,Consumer Discretionary,939614480,1778285000,1552961820,2018418000,21892871044.575,23030733044.575
107,FITB.OQ,Financials,1431386150,,2381695940,15626000000,15692742488.5,30597742488.5
108,CHRW.OQ,Industrials,538022040,978390000,901088780,1047015000,11140939352.4,12195600352.4
109,ECL.N,Materials,1567854290,3271260000,2420351650,7315900000,34245782339.67,40650582339.67
110,PHM.N,Consumer Discretionary,557532100,1005875000,949740800,4804954000,7718920902.49,8388881902.49
111,EXR.N,Real Estate,257517570,423500000,327575000,1737425000,7572528970.36,10049900970.36
112,VRSN.OQ,Information Technology,440354430,684300000,678260670,-883466000,7486436660.849991,7422547660.85
113,TXT.N,Industrials,829081440,1768670000,1359562800,4272000000,12155167118.64,15209167118.64
114,EBAY.OQ,Consumer Discretionary,4175306790,6214520140,5179461480,19906000000,72082489603.53,71893540603.53
