,0,TR.GICSSECTOR,"TR.NETPROFITMEAN(Period=FY2,SDate=2020-03-16)","TR.EBITDAREPORTEDMEAN(Period=FY2,SDate=2020-03-16)","TR.EBITMEAN(Period=FY2,SDate=2020-03-16)","TR.TOTALEQUITY(Period=FY0,SDate=2020-03-16)",TR.COMPANYMARKETCAP(SDate=2020-03-16),TR.EV(SDate=2020-03-16)
0,SHW.N,,,,,,,
1,DTE.N,,,,,,,
2,LOW.N,,,,,,,
3,WBA.OQ,,,,,,,
4,MAR.OQ,,,,,,,
5,EMR.N,,,,,,,
6,WEC.N,,,,,,,
7,LEG.N,,,,,,,
8,REG.OQ,,,,,,,
9,MS.N,,,,,,,
10,BLK.N,,,,,,,
11,WYNN.OQ,,,,,,,
12,HOLX.OQ,,,,,,,
13,BRKb.N,,,,,,,
14,DVN.N,,,,,,,
15,ALLE.N,,,,,,,
16,PEAK.N,,,,,,,
17,DLTR.OQ,,,,,,,
18,PAYX.OQ,,,,,,,
19,AAL.OQ,,,,,,,
20,TER.OQ,,,,,,,
21,WDC.OQ,,,,,,,
22,PWR.N,,,,,,,
23,XOM.N,,,,,,,
24,CMA.N,,,,,,,
25,DISCK.OQ,,,,,,,
26,NDAQ.OQ,,,,,,,
27,DPZ.N,,,,,,,
28,HES.N,,,,,,,
29,BXP.N,,,,,,,
30,BEN.N,,,,,,,
31,APA.OQ,,,,,,,
32,AMAT.OQ,,,,,,,
33,FLT.N,,,,,,,
34,ZION.OQ,,,,,,,
35,RF.N,,,,,,,
36,DISH.OQ,,,,,,,
37,PEG.N,,,,,,,
38,ALL.N,,,,,,,
39,SLB.N,,,,,,,
40,PGR.N,,,,,,,
41,NOV.N,,,,,,,
42,SWKS.OQ,,,,,,,
43,EL.N,,,,,,,
44,NOC.N,,,,,,,
45,PKG.N,,,,,,,
46,CSX.OQ,,,,,,,
47,MSCI.N,,,,,,,
48,CERN.OQ,,,,,,,
49,MGM.N,,,,,,,
50,ANSS.OQ,,,,,,,
51,UNH.N,,,,,,,
52,ALGN.OQ,,,,,,,
53,NLSN.N,,,,,,,
54,TTWO.OQ,,,,,,,
55,BIO.N,,,,,,,
56,CAG.N,,,,,,,
57,XLNX.OQ,,,,,,,
58,INCY.OQ,,,,,,,
59,ADBE.OQ,,,,,,,
60,NTRS.OQ,,,,,,,
61,SPGI.N,,,,,,,
62,CVX.N,,,,,,,
63,AIZ.N,,,,,,,
64,PRGO.N,,,,,,,
65,CNC.N,,,,,,,
66,AKAM.OQ,,,,,,,
67,COG.N,,,,,,,
68,BIIB.OQ,,,,,,,
69,K.N,,,,,,,
70,EQIX.OQ,,,,,,,
71,DD.N,,,,,,,
72,WFC.N,,,,,,,
73,SJM.N,,,,,,,
74,ZBRA.OQ,,,,,,,
75,CPRT.OQ,,,,,,,
76,BFb.N,,,,,,,
77,NOW.N,,,,,,,
78,TT.N,,,,,,,
79,IBM.N,,,,,,,
80,PAYC.N,,,,,,,
81,DXC.N,,,,,,,
82,NFLX.OQ,,,,,,,
83,GL.N,,,,,,,
84,HON.N,,,,,,,
85,APTV.N,,,,,,,
86,GIS.N,,,,,,,
87,NRG.N,,,,,,,
88,SEE.N,,,,,,,
89,ROST.OQ,,,,,,,
90,BMY.N,,,,,,,
91,ALB.N,,,,,,,
92,APD.N,,,,,,,
93,DOW.N,,,,,,,
94,REGN.OQ,,,,,,,
95,XRX.N,,,,,,,
96,OXY.N,,,,,,,
97,VTR.N,,,,,,,
98,PNW.N,,,,,,,
99,AFL.N,,,,,,,
100,AON.N,,,,,,,
101,LMT.N,,,,,,,
102,ZTS.N,,,,,,,
103,ABC.N,,,,,,,
104,CDNS.OQ,,,,,,,
105,EA.OQ,,,,,,,
106,ORLY.OQ,,,,,,,
107,FITB.OQ,,,,,,,
108,CHRW.OQ,,,,,,,
109,ECL.N,,,,,,,
110,PHM.N,,,,,,,
111,EXR.N,,,,,,,
112,VRSN.OQ,,,,,,,
113,TXT.N,,,,,,,
114,EBAY.OQ,,,,,,,
115,BAC.N,,,,,,,
116,PYPL.OQ,,,,,,,
117,CMCSA.OQ,,,,,,,
118,EQR.N,,,,,,,
119,SBUX.OQ,,,,,,,
120,EW.N,,,,,,,
121,TMO.N,,,,,,,
122,SLG.N,,,,,,,
123,HPE.N,,,,,,,
124,ENPH.OQ,,,,,,,
125,HAS.OQ,,,,,,,
126,IR.N,,,,,,,
127,KHC.OQ,,,,,,,
128,HAL.N,,,,,,,
129,BR.N,,,,,,,
130,QCOM.OQ,,,,,,,
131,ATVI.OQ,,,,,,,
132,DGX.N,,,,,,,
133,TDG.N,,,,,,,
134,LNC.N,,,,,,,
135,IPG.N,,,,,,,
136,JNPR.N,,,,,,,
137,TMUS.OQ,,,,,,,
138,CTLT.N,,,,,,,
139,ESS.N,,,,,,,
140,WLTW.OQ,,,,,,,
141,JBHT.OQ,,,,,,,
142,AMGN.OQ,,,,,,,
143,TAP.N,,,,,,,
144,EFX.N,,,,,,,
145,UAL.OQ,,,,,,,
146,DISCA.OQ,,,,,,,
147,GRMN.OQ,,,,,,,
148,NI.N,,,,,,,
149,ILMN.OQ,,,,,,,
150,CSCO.OQ,,,,,,,
151,FRC.N,,,,,,,
152,MDLZ.OQ,,,,,,,
153,FLIR.OQ,,,,,,,
154,VNO.N,,,,,,,
155,LHX.N,,,,,,,
156,NKE.N,,,,,,,
157,MRO.N,,,,,,,
158,ANTM.N,,,,,,,
159,PPL.N,,,,,,,
160,CCI.N,,,,,,,
161,FAST.OQ,,,,,,,
162,RJF.N,,,,,,,
163,FCX.N,,,,,,,
164,LNT.OQ,,,,,,,
165,NWSA.OQ,,,,,,,
166,TSLA.OQ,,,,,,,
167,FFIV.OQ,,,,,,,
168,MCD.N,,,,,,,
169,ADSK.OQ,,,,,,,
170,HST.OQ,,,,,,,
171,XEL.OQ,,,,,,,
172,IDXX.OQ,,,,,,,
173,LB.N,,,,,,,
174,PCAR.OQ,,,,,,,
175,PSA.N,,,,,,,
176,PVH.N,,,,,,,
177,KO.N,,,,,,,
178,HRL.N,,,,,,,
179,TEL.N,,,,,,,
180,JPM.N,,,,,,,
181,GE.N,,,,,,,
182,FLS.N,,,,,,,
183,CDW.OQ,,,,,,,
184,BDX.N,,,,,,,
185,MMC.N,,,,,,,
186,WELL.N,,,,,,,
187,MSFT.OQ,,,,,,,
188,VFC.N,,,,,,,
189,GPN.N,,,,,,,
190,MRK.N,,,,,,,
191,PG.N,,,,,,,
192,FANG.OQ,,,,,,,
193,UNP.N,,,,,,,
194,FB.OQ,,,,,,,
