,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,18.5,6.8157324683228095,55.028,7.38661883996823,9.6972,69.6645355334
1,DTE.N,Utilities,5.7,3.53462169847479,10.91917,4.88474648665114,6.0465,59.590303858
2,LOW.N,Consumer Discretionary,28.4,8.2037081666428,149.96667,9.423512021398901,24.25133,90.732211674
3,WBA.OQ,Consumer Staples,11.15,3.2766999598942,17.396829999999998,3.95407769560605,3.8489999999999998,44.277767525200005
4,MAR.OQ,Consumer Discretionary,11.0,9.57269077970948,127.895,12.4183971159542,-10.13,93.962037276
5,EMR.N,Industrials,15.8,9.35301514422611,27.83057,10.677778113103699,2.9376700000000002,46.9842465324
6,WEC.N,Utilities,5.95,1.8466612843319399,11.857000000000001,2.05282367539454,6.13667,55.394613216
7,LEG.N,Consumer Discretionary,,7.83074191964172,,10.1132361096258,,61.85147507600001
8,REG.OQ,Real Estate,4.4,5.745542093026001,3.5,7.797506551759,,38.39112670000001
9,MS.N,Financials,,3.4075479386377205,11.67857,10.3749009610969,7.332999999999999,
10,BLK.N,Financials,24.2,7.68793489189652,16.715,8.22840509099812,12.67675,12.423528232
11,WYNN.OQ,Consumer Discretionary,2.53333,8.04351682665906,28.3994,16.1247580953081,-1.099,87.11494381
12,HOLX.OQ,Health Care,18.6,7.83371449802414,24.58333,8.51495348304089,10.46667,53.0422867451
13,BRKb.N,Financials,,5.5339935650600305,6.263330000000001,6.45658173738886,,19.432595580999998
14,DVN.N,Energy,1.5,11.2208008165641,13.7006,22.560081954896802,4.5,43.408851926000004
15,ALLE.N,Industrials,20.933329999999998,4.4991535592596605,45.001999999999995,4.8855037700946,1.1265,65.24838901300001
16,PEAK.N,Real Estate,4.0,4.34682089330722,2.1233299999999997,5.407460166424349,,48.786931065
17,DLTR.OQ,Consumer Discretionary,13.03333,5.5406184397509595,18.305,6.201401154319509,11.06133,37.620424853
18,PAYX.OQ,Information Technology,82.2,6.3684326491867,36.91786,6.486808410546369,4.5,22.378812826
