,Instrument,GICS Sector Name,Return On Invested Capital - Mean,"Weighted Average Cost of Capital, (%)",Return On Equity - Mean,"WACC Cost of Equity, (%)",Long Term Growth - Mean,"Total Debt to Total Capital, Percent"
0,SHW.N,Materials,36.56667,6.8157324683228095,65.34100000000001,7.4977649435448495,10.92667,69.199064236
1,DTE.N,Utilities,5.96667,3.53462169847479,10.02483,3.4421256935752202,5.0975,52.528741836
2,LOW.N,Consumer Discretionary,18.973329999999997,8.20382689334529,69.48233,8.95954297489454,16.63433,62.301137763
3,WBA.OQ,Consumer Staples,9.275,3.2766999598942,16.2117,8.954945511613449,13.6606,31.484359609000002
4,MAR.OQ,Consumer Discretionary,26.3,9.57269077970948,-27.7175,10.184613782633301,16.566670000000002,794.390715667
5,EMR.N,Industrials,19.28,9.36951655642964,29.790670000000002,9.70505060755027,6.0198,45.704742818999996
6,WEC.N,Utilities,5.13333,1.8466612843319399,10.73833,2.2419624288199502,6.7666699999999995,54.437099989
7,LEG.N,Consumer Discretionary,,7.83074191964172,,7.9243489479086,12.5,46.259669048999996
8,REG.OQ,Real Estate,,5.74605100905429,6.859,7.67037091737934,,47.234098616000004
9,MS.N,Financials,,3.4075479386377205,7.77307,16.5616594959745,9.95,82.8495145303
10,BLK.N,Financials,20.0,7.68793489189652,12.533,11.3371788589155,10.5555,14.511096721
11,WYNN.OQ,Consumer Discretionary,11.9,8.04351682665906,73.86399999999999,13.399349031972301,20.95,99.761816756
12,HOLX.OQ,Health Care,11.95,7.83371449802414,25.045,8.77253456792916,9.1,63.46768809100001
13,BRKb.N,Financials,,5.5339935650600305,6.6,6.587147725037429,,24.580072088
14,DVN.N,Energy,6.2,11.166831361514001,3.20014,14.7768193285633,1.524,54.252529036999995
15,ALLE.N,Industrials,22.425,4.4991535592596605,67.998,10.484249905120802,11.662,98.087326121
16,PEAK.N,Real Estate,6.9,4.3471403468886605,8.685,4.0481478225761,,53.17719352899999
17,DLTR.OQ,Consumer Discretionary,9.73333,5.540707632432389,18.36263,3.8269562966827597,20.1035,62.975316317
18,PAYX.OQ,Information Technology,61.03333000000001,6.3684326491867,44.08375,7.340195578076969,9.6,0.0
19,AAL.OQ,Industrials,8.15,5.24285028807697,60.409330000000004,11.3680042555532,-12.96433,78.646405699
20,TER.OQ,Information Technology,,9.2342163896486,13.02867,11.5542479112867,,0.0
21,WDC.OQ,Information Technology,,8.168612374028879,12.6875,11.2330888851543,,21.707006369000002
