,Instrument,GICS Sector Name,3 Month Total Return,6 Month Total Return,52 Week Total Return,Beta
0,SHW.N,Materials,-1.76725377163629,0.017308873164801,15.762805500938802,1.1528313689193601
1,DTE.N,Utilities,-2.88275905626673,-12.7548728354843,-9.79893593166724,0.16289969729205497
2,LOW.N,Consumer Discretionary,16.5191221889676,15.4135191274493,26.707062024322,1.33619458547693
3,WBA.OQ,Consumer Staples,-1.7529707458288701,-7.44305341911171,-14.2143530520891,1.11963891178197
4,MAR.OQ,Consumer Discretionary,-1.75573203878596,7.5091763273341705,34.3368625885085,1.33126565589602
5,EMR.N,Industrials,2.5900029132343,8.92162356154773,22.698276118661298,1.17439743469226
6,WEC.N,Utilities,-1.33776988211677,-9.50012596013667,-2.4396012543632,0.065394329470176
7,LEG.N,Consumer Discretionary,-2.8459006084559397,-3.7194789258936,-13.250544496643199,0.9237947640962529
8,REG.OQ,Real Estate,3.49737694505385,-13.036914933327598,0.650377790188039,0.477575162246802
9,MS.N,Financials,-10.1596897367551,-2.7614188318812,17.277387598871698,1.46336779572747
10,BLK.N,Financials,-5.4975856549292805,3.5467939897704,27.4267511920253,1.63821286638019
11,WYNN.OQ,Consumer Discretionary,-6.565061655293389,5.11059710074069,30.7181980478761,1.31703091485573
12,HOLX.OQ,Health Care,5.06756756644362,-7.12152538477355,-8.777075810739879,0.847949654537625
13,BRKb.N,Financials,-7.7278413998636,-3.04378602130758,12.4824026287574,0.855448805459588
14,DVN.N,Energy,27.175022869206902,7.22233561793555,27.634721112333104,2.15422576723196
15,ALLE.N,Industrials,-3.74272471611656,0.246892759358563,1.4995022462986398,1.07506305706816
16,PEAK.N,Real Estate,6.3144021365362,-7.514573008957701,-21.6793996834441,0.26398848507719397
17,DLTR.OQ,Consumer Discretionary,-6.5208156361538,-17.1888230329938,25.617239902429105,0.8355579201524911
18,PAYX.OQ,Information Technology,6.04588348733635,1.6630694180213201,18.0116411176761,0.977372654659405
19,AAL.OQ,Industrials,-22.293315988586503,-15.869697081914001,-11.5815596597119,0.9538199328950259
20,TER.OQ,Information Technology,-19.7562134040271,-5.65312555972075,21.864119480174303,1.18528789749225
21,WDC.OQ,Information Technology,-20.7240217169603,-0.090251751773396,-5.35542208284895,0.998571956660272
22,PWR.N,Industrials,1.71428571726893,-5.62036054547701,11.0417966390838,0.8469557845491309
23,XOM.N,Energy,9.47829223582906,-0.8772742603914809,0.461860572590766,0.912132518844124
24,CMA.N,Financials,-3.2046700931525693,11.618229093320197,29.4665241420331,1.3689737266392699
25,DISCK.OQ,Communication Services,17.1217029178545,28.151898739883105,-1.1328124964189799,1.6292544850719801
26,NDAQ.OQ,Financials,13.416622766389999,23.5862206001123,35.962947766696296,0.6837180335646831
27,DPZ.N,Consumer Discretionary,22.5189209050848,50.546771582252,32.7785428210665,0.370079775934387
28,HES.N,Energy,24.0231838793102,39.6261005615376,40.550456107390204,1.4666014205703601
29,BXP.N,Real Estate,-4.01201135874467,-6.02819162870997,-2.3981019341083,0.580205465750712
30,BEN.N,Financials,-3.89939359404384,-14.065580549335499,-14.6114258315289,1.55123251408271
31,APA.OQ,Energy,18.452079850766,6.63345134357378,-14.1019661439689,1.10415829387081
32,AMAT.OQ,Information Technology,-17.8734110344944,-5.608524028987389,15.497624389442198,1.58430159214604
33,FLT.N,Information Technology,0.149917785968001,8.93167113490385,43.404196384905205,1.38656113342847
34,ZION.OQ,Financials,1.3875713067968702,11.4044455584732,30.085303312850197,
35,RF.N,Financials,-3.5736670486160396,9.59609554282328,32.2511132100162,1.26579521900234
36,DISH.OQ,Communication Services,-13.647704592198801,-28.7420218251408,-46.3410852731576,1.23364582763495
37,PEG.N,Utilities,8.93143202135103,2.31228453939982,22.5103971650741,0.42365590637662204
38,ALL.N,Financials,-2.6265155262595097,-8.876971015100189,6.29234934910534,0.92247851905423
39,SLB.N,Energy,3.01162239914603,9.183281364514519,0.416140720546099,1.05990755148725
40,PGR.N,Financials,1.2666450171207901,14.8016612804772,42.0232017550136,0.658592580577122
41,NOV.N,Energy,14.5316975936162,25.7908632702601,23.9215008165164,0.7980881301461221
42,SWKS.OQ,Information Technology,-7.41983706918039,9.207972865255769,2.0295695764889397,0.617535262216629
43,EL.N,Consumer Staples,9.92727700214602,22.556615552448,63.9564510668085,0.62844013823671
44,NOC.N,Industrials,-5.31975850557129,4.268983009045789,26.0736467448894,0.739935821877969
45,PKG.N,Materials,1.8866855784691998,5.03796948175288,13.1690786880414,1.82139106125137
46,CSX.OQ,Industrials,17.8385641089249,26.8604804592,28.298640387322997,1.17506198492753
47,MSCI.N,Financials,11.7578323086642,35.7091329351705,65.4314566190831,0.82726019649806
48,CERN.OQ,Health Care,0.14567821626729802,-10.8758282909253,-6.31435493702031,0.9753489671701909
49,MGM.N,Consumer Discretionary,-12.1369375874654,-4.3360673989769,-2.9040654939695494,1.3740815151536598
50,ANSS.OQ,Information Technology,6.226099421542179,20.0972775694187,46.020533873272896,1.05563615424694
51,UNH.N,Health Care,11.9400383412029,16.1920906192013,42.907631026187,0.7786265522709029
52,ALGN.OQ,Health Care,32.9057793104676,55.2815243047401,149.66267383605,1.5829898829417601
53,NLSN.N,Industrials,-5.12035653862204,-13.8080355485239,-14.831153613161199,0.9795776397048379
54,TTWO.OQ,Communication Services,11.5794306710496,9.28141020020274,63.848435816771705,1.0155529407003598
55,BIO.N,Health Care,13.1431975526617,20.616019682105698,37.7453424523585,0.9968289126632259
56,CAG.N,Consumer Staples,6.42963578559319,3.11025636147615,3.71894558556167,0.315425834787648
57,XLNX.OQ,Information Technology,-6.93148861400244,4.34228799853598,10.7065694766456,1.0877959106444601
58,INCY.OQ,Health Care,-16.6084113182697,-23.285966182028197,-37.3485811062193,0.736181717389793
59,ADBE.OQ,Information Technology,15.054598619456801,41.862430283072705,82.6900754531587,1.09763065963467
60,NTRS.OQ,Financials,1.13965736985349,10.0944103824881,14.970552485219901,0.9350018241879701
61,SPGI.N,Financials,8.557294704915181,24.0736434424464,41.9885641503285,1.3635572565613299
62,CVX.N,Energy,8.2480618049293,5.536079749716129,18.909843080894397,1.12455303449374
63,AIZ.N,Financials,8.060462265825349,-1.6870470551184198,-6.46145787146646,0.5434638311475251
64,PRGO.N,Health Care,-10.8288167645867,-12.7342424521085,3.77931492475263,0.804289537158456
65,CNC.N,Health Care,17.6073736249679,30.476491673881103,57.408113944358995,0.7827949700734979
66,AKAM.OQ,Information Technology,9.71757462396763,41.9148199429048,65.5959595894656,0.614677849593823
67,COG.N,Energy,-5.94500653809404,-11.371537701518399,2.51366975907681,0.4034196357084461
68,BIIB.OQ,Health Care,6.393442625791639,-6.98603402880881,21.1686660887813,0.7996490191234771
69,K.N,Consumer Staples,0.94400907295924,4.88064631118508,-3.6170191195447003,0.545610593374019
70,EQIX.OQ,Real Estate,-3.39507205496768,-11.8818435912694,-4.76367973410847,0.46826032734475703
71,DD.N,Materials,0.39387255434810703,-2.1353744020551,2.53777763059517,1.3576309653978798
72,WFC.N,Financials,-2.5232618880858597,-6.9219661266194406,4.877948432356559,1.12950537334746
73,SJM.N,Consumer Staples,-14.735761399836399,-10.2864444152191,-12.8786819751911,0.6102441547883349
74,ZBRA.OQ,Information Technology,8.00554016906578,53.1572228275915,49.530201350092106,1.4642398566960002
75,CPRT.OQ,Industrials,15.7455268451359,31.9882112943525,86.3636363697567,0.9292317319697491
76,BFb.N,Consumer Staples,-1.3835660639557998,2.64958353752529,39.118443874281205,0.8309975059677359
77,NOW.N,Information Technology,7.202439164969451,43.8996138999719,84.1403162187864,1.1770025076336499
78,TT.N,Industrials,2.12813123618321,6.213256485727639,-0.216590856022503,1.36185804232412
79,IBM.N,Information Technology,-7.906393618526441,-2.63310601527159,-2.4653619855527498,0.874008525399873
80,PAYC.N,Information Technology,2.54962665683685,38.45586427116879,62.370242202661,1.3868833083613799
81,DXC.N,Information Technology,-6.793139432051211,2.1997324687602404,30.5995194463539,0.903158011459285
82,NFLX.OQ,Communication Services,22.0779220772112,106.17504733900299,157.238482745849,0.971476539309407
83,GL.N,Financials,-1.04695118728775,-5.38508732711246,10.1868891002987,0.9181817147077891
