,Instrument,GICS Sector Name,Net Income - Mean,EBITDA Reported - Mean,EBIT - Mean,Total Equity,Company Market Cap,Enterprise Value (Daily Time Series)
0,SHW.N,Materials,1315778890,2282700000,2006317060,867910000,26908678273.96,28892383273.96
1,DTE.N,Utilities,955791000,2704500000,1682318880,8772000000,16866927976.0,26439927976.0
2,LOW.N,Consumer Discretionary,3963539640,8404000000,7057813130,7654000000,68265507320.64,79005507320.64
3,WBA.OQ,Consumer Staples,5495270450,9580333330,7921671750,30861000000,89887246361.2,99706246361.2
4,MAR.OQ,Consumer Discretionary,1038422710,1904662500,1720085120,-3590000000,16708108638.4,20768108638.4
5,EMR.N,Industrials,2087367350,4243333330,3358282470,8081000000,33428520090.36,37451520090.36
6,WEC.N,Utilities,981926890,2543333330,1851629000,8685200000,19746889269.92,29747189269.92
7,LEG.N,Consumer Discretionary,377540000,,565540000,1085600000,6682718350.75,7480118350.75
8,REG.OQ,Real Estate,140697890,386000000,214290170,2054109000,7774727539.95,10268592539.95
9,MS.N,Financials,5384839390,,8872047750,75182000000,47883242154.4799,413720242154.48
10,BLK.N,Financials,3712825530,5520000000,5387106170,28503000000,55471176906.55,55947176906.55
11,WYNN.OQ,Consumer Discretionary,491802800,1439737500,981680200,-111979000,10341956557.5999,17629979557.6
12,HOLX.OQ,Health Care,615757050,1066000000,1020713770,2079200000,9237630810.18,12327030810.18
13,BRKb.N,Financials,18860000000,,,255550000000,345787357758.85,392160357758.85
14,DVN.N,Energy,381578890,,1232138390,7049000000,18387160000.0,33395160000.0
15,ALLE.N,Industrials,364107500,565000000,494407000,25600000,6525211241.28,7899711241.28
16,PEAK.N,Real Estate,691848890,1526100000,1203695000,9343643000,16254648097.1999,27629130097.2
17,DLTR.OQ,Consumer Discretionary,1090999760,2623800000,2027226900,4406900000,21457398040.8,27853998040.8
18,PAYX.OQ,Information Technology,801395720,1374333330,1243153940,1785500000,19633799864.08,14589399864.08
19,AAL.OQ,Industrials,3187194710,7740750000,6019734770,5635000000,17628456230.64,32442456230.64
20,TER.OQ,Information Technology,306735780,468050000,379083890,1965786000,3955894662.72,3226533662.72
21,WDC.OQ,Information Technology,1225814500,4202000000,2504104670,9219000000,10778428035.9,6948428035.9
22,PWR.N,Industrials,279408500,641054500,435960800,3085494000,3481377080.1,3736958080.1
23,XOM.N,Energy,18317677300,36354500000,29570289400,170811000000,373858479496.32,418431479496.32104
24,CMA.N,Financials,543770500,,1090868750,7560000000,7490479982.44,10136479982.44
25,DISCK.OQ,Communication Services,1280655710,2474600000,2220893400,5451000000,10156481413.94,18063481413.94
26,NDAQ.OQ,Financials,704367400,1228000000,1160419150,5609000000,10660549773.6,12635549773.6
27,DPZ.N,Consumer Discretionary,236943730,522000000,491732070,-1800251000,6338449629.24,8375193629.24
28,HES.N,Energy,-921486710,,-1221008150,19386000000,18100512509.85,22186512509.85
29,BXP.N,Real Estate,419495270,1595533330,902668380,5709435000,19461019397.7,30395714397.7
30,BEN.N,Financials,1599657130,2284000000,2266932330,11841000000,19331984587.75,14127484587.75
31,APA.OQ,Energy,499589210,3532000000,1373044770,7888000000,20641437044.41,31119437044.41
32,AMAT.OQ,Information Technology,1984939900,2178000000,2516390330,7613000000,25812710524.8,26515710524.8
33,FLT.N,Information Technology,703479080,1078000000,927608440,2830047000,13398389670.9,16118122670.9
34,ZION.OQ,Financials,433565500,,928763570,7507519000,5508464673.84,6853787673.84
35,RF.N,Financials,1116265590,,2103122880,16844000000,11527089382.9,18490089382.9
36,DISH.OQ,Communication Services,1270432800,2944744130,1971924950,2748787000,24462505690.56,36140343690.56
37,PEG.N,Utilities,1461347000,4133225000,2779668930,13066000000,22417728567.99,32076728567.99
38,ALL.N,Financials,2200610300,,2289353900,20025000000,24659569703.58,30982569703.58
39,SLB.N,Energy,2821939060,8492300000,4154672790,35633000000,106853178184.79901,114211178184.8
40,PGR.N,Financials,1238313000,,1670221820,7289400000,18510139954.5,21469239954.5
41,NOV.N,Energy,-115030330,664450000,-51605420,16383000000,12771054241.0199,14440054241.02
42,SWKS.OQ,Information Technology,1189995600,257766670,1405895890,3159200000,12363576458.64,11186076458.64
43,EL.N,Consumer Staples,1323241240,2387250000,1932712950,3643200000,33604332997.09,34466432997.09
44,NOC.N,Industrials,2096898250,3631000000,3233889600,5522000000,39192287999.37,44311287999.37
45,PKG.N,Materials,437651920,1095000000,778614500,1633300000,6156746919.02,8312746919.02
46,CSX.OQ,Industrials,1792999250,4915900000,3438068580,11652000000,25225332293.98,34668332293.98
47,MSCI.N,Financials,320221900,581485500,538105890,901487000,7170075195.5,8305021195.5
48,CERN.OQ,Health Care,924624550,1854900000,1364697130,3870384000,18428840226.2399,18520953226.24
49,MGM.N,Consumer Discretionary,575042000,2314720000,1675684130,5119927000,13857570023.56,27793307023.56
50,ANSS.OQ,Information Technology,348242540,499000000,510453310,2194427000,7711495598.98,6847535598.98
51,UNH.N,Health Care,8467184470,15662180000,14388154500,33830000000,130507374746.54,155355374746.54
52,ALGN.OQ,Health Care,222700330,290287000,291983550,847926000,6354602525.75,5806524525.75
53,NLSN.N,Industrials,1130098290,2029942860,1477991890,4433000000,19530375461.95,26954375461.95
54,TTWO.OQ,Communication Services,273204000,39220000,370167500,581385000,3182127803.69,2410500803.69
55,BIO.N,Health Care,112818000,,172923500,2490503000,4155420948.4941,3841036948.4940004
56,CAG.N,Consumer Staples,1047049310,250000000,1660885620,4526000000,20288929444.84,25540029444.84
57,XLNX.OQ,Information Technology,623010470,772966670,727240470,2602787000,11826202546.1999,10067559546.2
58,INCY.OQ,Health Care,250037130,49700000,305101570,171155000,14906360058.8,14723333058.8
59,ADBE.OQ,Information Technology,1835223450,2351500000,2489183770,7001580000,48530330249.9399,46349273249.94
60,NTRS.OQ,Financials,1061036690,,1712304000,8705900000,15909855637.76,114912755637.76
61,SPGI.N,Financials,1466925750,2572333330,2483676670,194000000,28333368000.0,31642368000.0
62,CVX.N,Energy,8636399110,27714333330,13946398920,152716000000,189657601203.81,224286601203.81
63,AIZ.N,Financials,365859750,,615308000,4523967000,5177925425.2,4531814425.2
64,PRGO.N,Health Care,1329001050,1731000000,1822581000,10107400000,14063030334.27,19676730334.27
65,CNC.N,Health Care,829709210,226260000,1681023500,2157000000,11423396735.15,12154396735.15
66,AKAM.OQ,Information Technology,526020910,888685710,726006800,3120878000,9353773800.98,9139388800.98
67,COG.N,Energy,157027000,1234000000,361069230,2009188000,11411106552.18,12434982552.18
68,BIIB.OQ,Health Care,4277807060,6155000000,5836807250,9372800000,52333591714.81,55289991714.81
69,K.N,Consumer Staples,1365441440,2432000000,2129691890,2128000000,26712178065.69,34650178065.69
70,EQIX.OQ,Real Estate,397115720,1859873670,872167000,2745386000,25834559923.8,32370239923.8
71,DD.N,Materials,,,,78787000000,,
72,WFC.N,Financials,21929663000,,38370470060,192998000000,237504289113.78,579070289113.78
73,SJM.N,Consumer Staples,896740100,1843000000,1496782620,7008500000,16709507599.2,21853307599.2
74,ZBRA.OQ,Information Technology,332244890,631383250,581105710,893000000,2921224563.84,5706427563.84
75,CPRT.OQ,Industrials,271572750,,438125880,964464000,5342235634.56,5905458634.56
76,BFb.N,Consumer Staples,753786420,,1124314000,1562000000,19919830191.7399,21340830191.74
77,NOW.N,Information Technology,183013560,214500000,279058270,566814000,12134363273.78,11716133273.78
78,TT.N,Industrials,1152689500,2121700000,1736906940,5816700000,16560068464.3199,20479668464.32
79,IBM.N,Information Technology,12910946390,19574000000,16245686710,14262000000,144647051859.36,175434051859.36
80,PAYC.N,Information Technology,51108270,87322330,80779500,98314000,2523502135.74,2476977135.74
81,DXC.N,Information Technology,479551000,1363400000,755973560,2025000000,7195538778.36,8041538778.360009
82,NFLX.OQ,Communication Services,470292770,2849842180,836031460,2223426000,40384294229.16,40684041229.16
83,GL.N,Financials,554976670,,782733500,4055552000,7158206980.28,8446564980.28
84,HON.N,Industrials,5605136770,8990866670,8084421540,18283000000,88039578285.76,95782578285.76
85,APTV.N,Consumer Discretionary,1876245330,3225600000,2510415000,2250000000,17975538479.1,22244538479.1
86,GIS.N,Consumer Staples,1820741440,3377500000,2860915720,4996700000,38740686590.34,47927786590.34
87,NRG.N,Utilities,55882630,2693000000,1353631500,3009000000,4392967171.95,24858967171.95
88,SEE.N,Materials,547513830,1007400000,959012620,527100000,9265715548.0,13644715548.0
89,ROST.OQ,Consumer Discretionary,1165990630,2191500000,1881127310,2471991000,21701372173.04,21185762173.04
90,BMY.N,Health Care,5406674140,7730500000,6263822050,14266000000,121141628801.60901,123698628801.61
91,ALB.N,Materials,512322150,998466670,748938070,3254392000,8951220094.59,12443509094.59
92,APD.N,Materials,1766087070,3380100000,2349644140,7249000000,31040062656.2,36681462656.2
93,DOW.N,Materials,,,,,,
