Dates,Vanguard Total Bond,Vanguard 500 Stock
1987-11-30,99.57,1134.55
1987-12-31,100.0,1211.7
1988-01-29,102.72,1262.32
1988-02-29,103.26,1320.26
1988-03-31,101.3,1280.11
1988-04-29,100.0,1293.08
1988-05-31,98.37,1303.55
1988-06-30,100.22,1362.98
1988-07-29,99.02,1357.96
1988-08-31,98.48,1311.78
1988-09-30,99.89,1367.6
1988-10-31,100.65,1405.0
1988-11-30,99.02,1384.28
1988-12-30,98.37,1408.33
1989-01-31,98.91,1511.45
1989-02-28,97.5,1474.14
1989-03-31,97.07,1507.42
1989-04-28,98.26,1585.57
1989-05-31,100.0,1649.56
1989-06-30,102.17,1639.89
1989-07-31,103.7,1787.58
1989-08-31,101.3,1820.81
1989-09-29,101.09,1813.44
1989-10-31,103.58,1771.02
1989-11-30,104.35,1807.08
1989-12-29,104.73,1850.01
1990-01-31,103.14,1725.73
1990-02-28,103.57,1747.72
1990-03-30,103.23,1793.29
1990-04-30,102.28,1748.43
1990-05-31,105.23,1917.9
1990-06-29,106.92,1905.25
1990-07-31,108.27,1898.57
1990-08-31,106.94,1727.08
1990-09-28,107.72,1642.62
1990-10-31,109.33,1635.9
1990-11-30,111.78,1741.23
1990-12-31,113.16,1781.06
1991-01-31,114.68,1866.37
1991-02-28,115.58,1999.19
1991-03-29,116.36,2047.27
1991-04-30,117.54,2051.31
1991-05-31,118.32,2138.94
1991-06-28,118.25,2041.42
1991-07-31,119.81,2135.88
1991-08-30,122.28,2185.71
1991-09-30,124.76,2149.24
1991-10-31,125.95,2177.78
1991-11-29,126.9,2090.43
1991-12-31,130.78,2328.43
1992-01-31,128.97,2285.19
1992-02-28,129.78,2313.62
1992-03-31,129.12,2269.07
1992-04-30,130.06,2335.19
1992-05-29,132.47,2346.51
1992-06-30,134.22,2311.51
1992-07-31,136.79,2404.98
1992-08-31,138.15,2355.25
1992-09-30,139.91,2382.79
1992-10-30,138.19,2390.62
1992-11-30,138.15,2471.96
1992-12-31,140.22,2501.91
1993-01-29,142.71,2522.06
1993-02-26,145.52,2556.26
1993-03-31,146.04,2610.13
1993-04-30,147.15,2546.86
1993-05-31,147.37,2614.43
1993-06-30,150.07,2621.42
1993-07-30,150.97,2610.31
1993-08-31,153.52,2709.11
1993-09-30,154.16,2687.59
1993-10-29,154.62,2743.45
1993-11-30,153.14,2716.14
1993-12-31,153.89,2749.41
1994-01-31,156.03,2842.25
1994-02-28,153.24,2765.09
1994-03-31,149.69,2643.75
1994-04-29,148.45,2677.85
1994-05-31,148.45,2720.8
1994-06-30,148.14,2654.23
1994-07-29,150.87,2741.2
1994-08-31,151.08,2852.93
1994-09-30,148.88,2783.15
1994-10-31,148.77,2845.67
1994-11-30,148.51,2741.67
1994-12-30,149.7,2781.74
1995-01-31,152.54,2853.6
1995-02-28,155.91,2964.3
1995-03-31,156.93,3051.85
1995-04-28,158.99,3141.61
1995-05-31,165.27,3265.84
1995-06-30,166.38,3341.32
1995-07-31,165.94,3451.72
1995-08-31,167.9,3460.86
1995-09-29,169.52,3606.61
1995-10-31,171.99,3593.5
1995-11-30,174.49,3750.91
1995-12-29,176.99,3823.38
1996-01-31,178.11,3952.82
1996-02-29,175.0,3989.33
1996-03-29,173.59,4028.3
1996-04-30,172.76,4086.96
1996-05-31,172.43,4190.95
1996-06-28,174.65,4207.0
1996-07-31,175.05,4021.03
1996-08-30,174.75,4105.32
1996-09-30,177.75,4335.47
1996-10-31,181.67,4454.95
1996-11-29,184.89,4791.91
1996-12-31,183.27,4697.38
1997-01-31,183.73,4990.11
1997-02-28,183.99,5029.51
1997-03-31,182.12,4821.5
1997-04-30,184.87,5108.65
1997-05-30,186.45,5419.67
1997-06-30,188.65,5661.04
1997-07-31,193.93,6111.98
1997-08-29,192.27,5769.16
1997-09-30,195.09,6084.68
1997-10-31,197.9,5880.82
1997-11-28,198.57,6151.25
1997-12-31,200.61,6257.37
1998-01-30,203.29,6326.84
1998-02-27,203.15,6781.88
1998-03-31,203.76,7128.01
1998-04-30,204.83,7199.84
1998-05-29,206.89,7074.31
1998-06-30,208.59,7362.34
1998-07-31,209.03,7284.74
1998-08-31,213.02,6230.38
1998-09-30,217.23,6629.81
1998-10-30,216.0,7171.08
1998-11-30,217.1,7606.48
1998-12-31,217.9,8048.04
1999-01-29,219.64,8386.35
1999-02-26,215.81,8124.32
1999-03-31,217.27,8449.01
1999-04-30,218.17,8774.46
1999-05-31,216.21,8564.84
1999-06-30,215.14,9040.7
1999-07-30,214.27,8757.71
1999-08-31,214.09,8714.23
1999-09-30,216.81,8475.55
1999-10-29,217.52,9011.75
1999-11-30,217.57,9194.05
1999-12-31,216.47,9743.64
2000-01-31,216.1,9253.33
2000-02-29,218.69,9076.93
2000-03-31,221.71,9962.83
2000-04-28,220.64,9663.4
2000-05-31,220.23,9466.42
2000-06-30,225.0,9701.85
2000-07-31,226.96,9557.21
2000-08-31,230.13,10148.79
2000-09-29,231.9,9611.98
2000-10-31,233.19,9570.66
2000-11-30,236.91,8816.72
2000-12-29,241.13,8861.24
2001-01-31,245.38,9175.38
2001-02-28,247.7,8336.96
2001-03-30,248.97,7807.03
2001-04-30,246.51,8413.69
2001-05-31,247.0,8468.38
2001-06-29,247.0,8261.28
2001-07-31,252.49,8178.68
2001-08-31,253.98,7665.55
2001-09-28,254.97,7045.33
2001-10-31,259.73,7178.84
2001-11-30,255.0,7728.3
2001-12-31,253.25,7795.84
2002-01-31,255.31,7680.99
2002-02-28,257.57,7532.28
2002-03-29,252.55,7814.23
2002-04-30,255.58,7339.54
2002-05-31,257.58,7284.17
2002-06-28,258.36,6764.48
2002-07-31,259.62,6242.31
2002-08-30,263.97,6283.05
2002-09-30,268.05,5599.78
2002-10-31,266.4,6091.6
2002-11-29,266.57,6449.5
2002-12-31,272.14,6069.45
2003-01-31,272.18,5910.14
2003-02-28,276.02,5820.38
2003-03-31,275.54,5876.08
2003-04-30,278.12,6361.06
2003-05-30,283.2,6695.89
2003-06-30,282.66,6780.25
2003-07-31,273.37,6898.51
2003-08-29,275.5,7031.82
2003-09-30,282.0,6956.48
2003-10-31,279.15,7348.91
2003-11-28,279.97,7412.43
2003-12-31,282.38,7799.36
2004-01-30,284.87,7941.41
