Dates,Valuation,ten_yr,three_mth,Core_INF,Unemployment,PMI,Recession,Personal Consump,UMICH Sent
1962-02-28,21.451688,4.02,2.84,31.2,5.5,61.1,0,353.951,99.9
1962-05-31,19.089367,3.87,2.66,31.4,5.5,52.2,0,361.978,95.4
1962-08-31,17.571263,3.98,2.86,31.5,5.7,49.5,0,362.882,91.6
1962-11-30,17.854386,3.91,2.84,31.5,5.7,53.8,0,371.684,95.0
1963-02-28,19.469191,3.91,2.92,31.6,5.9,55.1,0,373.411,98.4
1963-05-31,20.507586,3.91,2.9,31.7,5.9,59.8,0,377.205,91.7
1963-08-30,20.472638,4.01,3.33,31.9,5.4,55.1,0,386.287,96.4
1963-11-29,20.720399,4.11,3.53,32.0,5.7,57.5,0,389.44,94.4
1964-02-28,21.832671,4.13,3.52,32.2,5.4,57.9,0,400.161,99.5
1964-05-29,22.574331,4.19,3.47,32.2,5.1,58.7,0,408.431,98.5
1964-08-31,22.650407,4.19,3.51,32.3,5.0,63.3,0,417.737,100.6
1964-11-30,23.22502,4.13,3.59,32.5,4.8,61.8,0,416.359,99.9
1965-02-26,23.372068,4.22,3.91,32.6,5.1,62.1,0,431.397,102.0
1965-05-31,23.708808,4.21,3.9,32.7,4.6,61.3,0,437.625,105.4
1965-08-31,22.665972,4.25,3.8,32.7,4.4,58.1,0,444.375,103.4
1965-11-30,23.925461,4.45,4.08,32.9,4.1,59.4,0,459.054,102.9
1966-02-28,23.700027,4.88,4.68,33.1,3.8,65.5,0,470.22,100.0
1966-05-31,21.852178,4.77,4.61,33.4,3.9,57.7,0,473.094,95.7
1966-08-31,19.913904,5.15,5.0,33.7,3.8,58.5,0,483.152,91.2
1966-11-30,19.711251,5.21,5.45,34.0,3.6,53.7,0,490.05,88.3
1967-02-28,21.074443,4.69,4.62,34.2,3.8,47.6,0,492.952,94.1
1967-05-31,21.948477,4.86,3.6,34.5,3.8,44.5,0,502.243,95.9
1967-08-31,22.030627,5.29,4.2,34.9,3.8,52.2,0,509.821,97.0
1967-11-30,21.263103,5.78,4.63,35.2,3.9,54.2,0,517.4,92.9
1968-02-29,20.424992,5.51,4.96,35.7,3.8,55.0,0,533.622,97.2
1968-05-31,21.630227,5.85,5.67,36.0,3.5,55.3,0,549.783,92.4
1968-08-30,21.137767,5.45,5.17,36.5,3.5,52.7,0,567.007,92.4
1968-11-29,22.195529,5.68,5.42,37.1,3.4,58.1,0,576.748,91.7
1969-02-28,20.89573,6.11,6.05,37.6,3.4,57.0,0,588.675,98.2
1969-05-30,20.972258,6.26,6.09,38.1,3.4,56.7,0,600.271,91.5
1969-08-29,18.429516,6.68,6.85,38.7,3.5,54.8,0,609.939,86.4
1969-11-28,18.43776,7.08,7.09,39.2,3.5,53.2,0,620.476,79.7
1970-02-27,16.372587,7.15,6.95,39.8,4.2,47.4,1,633.992,78.1
1970-05-29,13.983836,7.83,6.76,40.5,4.8,47.2,1,642.427,75.4
1970-08-31,14.100457,7.67,6.54,41.1,5.1,47.3,1,652.907,77.6
1970-11-30,14.950762,7.0,5.44,41.8,5.9,39.7,0,656.559,72.4
1971-02-26,17.034535,6.08,5.5,42.2,5.9,54.8,0,679.409,78.1
1971-05-31,17.564153,6.49,4.12,42.6,5.9,54.2,0,691.134,80.2
1971-08-31,16.519449,6.68,5.15,43.0,6.1,53.6,0,704.916,82.1
1971-11-30,15.638713,5.77,4.16,43.2,6.0,52.3,0,720.94,82.0
1972-02-29,17.464148,6.1,3.06,43.6,5.7,60.6,0,736.16,92.8
1972-05-31,17.662646,6.16,3.65,43.9,5.7,61.4,0,757.962,88.6
1972-08-31,17.943405,6.17,3.93,44.3,5.6,61.7,0,776.335,95.2
1972-11-30,18.338895,6.23,4.74,44.4,5.3,69.9,0,800.451,90.7
1973-02-28,17.88989,6.62,5.37,44.8,5.0,69.6,0,825.8,81.9
1973-05-31,16.314339,6.86,6.17,45.3,4.9,64.8,0,841.581,77.0
1973-08-31,15.278501,7.45,8.95,45.7,4.8,62.7,0,853.252,72.0
1973-11-30,14.651845,6.76,7.53,46.5,4.8,68.1,1,876.88,76.5
1974-02-28,12.957321,6.93,7.06,47.2,5.2,58.6,1,889.67,61.8
1974-05-31,11.995437,7.55,7.96,48.5,5.1,55.7,1,922.436,72.1
1974-08-30,9.824196,8.02,8.76,50.2,5.5,52.9,1,954.819,64.4
