Date,XLK,XLV,XLI,XLU,XLY,XLF,XLB,XLE,XLP,FXI,EZU,EWJ,EWU,EWC,EWA
2014-12-26,42.32,68.68307454999999,57.4,48.55,72.23,20.259998799999998,49.23,77.7836056,49.46,41.68,37.51,46.24,36.82,28.88,22.19
2014-12-29,42.11,68.92152295,57.49,49.11,72.78,20.33308096,49.23,78.065184,49.31,41.59,37.21,45.76,36.5,28.86,22.53
2014-12-30,41.81,68.62346244999999,57.15,48.09,72.44,20.30872024,49.06,77.44376960000001,49.09,40.95,36.74,45.2,36.26,28.86,22.4
2014-12-31,41.35,67.9379233,56.58,47.22,72.15,20.08135352,48.58,76.8611936,48.49,41.62,36.33,44.96,36.06,28.86,22.17
2015-01-02,41.27,68.18630705,56.51,47.44,71.63,20.08135352,48.65,77.2204488,48.35,41.68,36.37,45.04,35.72,28.69,22.1
2015-01-05,40.64,67.8385698,55.19,46.86,70.26,19.65910104,47.41,74.0259904,48.01,41.53,35.01,44.52,34.82,27.92,21.89
2015-01-06,40.15,67.61005675,54.51,46.89,69.56,19.35865216,46.99,72.93851520000001,47.95,41.02,34.65,43.8,34.42,27.51,21.8
2015-01-07,40.49,69.19971275,54.92,47.35,70.66,19.56165816,47.52,73.09386880000001,48.77,42.1,34.95,44.44,34.72,27.54,22.0
2015-01-08,41.38,70.3820194,56.02,47.68,71.72,19.853986799999998,48.65,74.7347912,49.51,42.44,35.44,44.98,35.34,27.88,22.29
2015-01-09,41.25,69.75609234999999,55.42,47.38,70.89,19.58601888,48.4,74.1425056,49.11,42.28,35.11,44.52,35.18,27.64,22.5
2015-01-12,40.77,69.7858984,55.04,47.27,70.51,19.42361408,48.29,72.0063936,48.96,41.9,35.21,44.36,35.04,27.2,22.24
2015-01-13,40.74,69.47790255,54.93,47.4,70.51,19.35865216,47.75,71.4335272,48.95,42.5,35.39,44.72,35.14,27.08,22.24
2015-01-14,40.51,69.36861369999998,54.63,47.81,69.66,19.082563999999998,47.19,71.656848,48.8,42.05,35.46,44.64,34.82,26.91,21.94
2015-01-15,39.99,68.62346244999999,54.37,48.19,68.76,18.84707704,47.1,70.7441456,48.88,42.47,35.37,44.96,35.02,26.76,22.07
2015-01-16,40.38,69.91505795,54.73,48.62,69.67,19.074443759999998,47.85,73.04532080000001,49.27,42.22,36.06,45.36,35.58,27.26,22.32
2015-01-20,40.72,69.91505795,55.12,48.74,69.27,18.99324136,47.93,73.1327072,49.47,41.76,36.36,45.72,35.9,26.94,22.03
2015-01-21,40.79,70.05415285000001,55.57,49.21,69.72,19.0419628,48.4,74.618276,49.71,43.09,36.72,45.8,36.26,27.02,22.23
2015-01-22,41.46,70.88872224999999,56.46,49.0,71.03,19.51293672,49.01,74.9678216,50.21,43.86,36.86,46.0,36.58,27.25,22.22
2015-01-23,41.45,70.4813729,55.985,49.14,70.93,19.30181048,48.25,74.4337936,49.65,43.75,36.55,45.84,36.4,27.26,22.0
2015-01-26,41.28,70.84898085,56.06,49.11,71.3,19.39925336,48.46,75.50184960000001,49.65,43.73,37.3,46.36,36.94,27.19,22.08
2015-01-27,40.09,70.342278,55.32,49.18,70.73,19.188127119999997,48.13,75.4533016,49.08,42.89,37.19,46.44,36.96,27.39,22.12
2015-01-28,40.02,69.3288723,54.84,48.76,69.81,18.8389568,47.26,72.48216400000001,48.51,42.11,36.34,46.36,36.5,26.7,22.0
2015-01-29,40.4,69.91505795,55.47,49.41,70.76,18.99324136,47.88,72.72490400000001,48.9,42.39,37.33,46.76,36.74,26.58,22.05
2015-01-30,39.9,68.82216944999999,54.57,48.32,69.99,18.68467224,47.69,73.356028,48.02,41.24,36.68,45.96,36.08,26.44,21.92
2015-02-02,40.31,69.2096481,55.38,48.53,70.62,18.98512112,48.12,75.59894560000001,48.59,41.94,37.13,46.44,36.4,27.14,22.37
2015-02-03,40.77,69.67660955,56.28,48.71,72.12,19.30181048,49.18,77.66709039999999,49.02,42.79,38.11,46.36,37.3,27.87,22.85
2015-02-04,40.85,68.80229874999999,55.85,48.12,72.6,19.25308904,48.86,76.3854232,49.04,43.15,37.33,46.6,36.96,27.35,22.73
2015-02-05,41.23,69.9647347,56.33,48.56,73.05,19.447974799999997,50.04,77.482608,49.29,43.01,37.98,47.0,37.52,27.89,23.14
2015-02-06,41.1,69.3288723,56.2,46.56,72.94,19.60225936,49.92,77.5020272,49.07,42.04,37.12,46.6,37.12,27.61,22.99
2015-02-09,41.04,68.51417359999999,56.05,46.15,72.66,19.50481648,49.86,77.579704,48.7,41.94,36.81,46.16,37.02,27.8,22.96
2015-02-10,41.65,69.6666742,56.36,47.1,73.55,19.65910104,50.23,77.5408656,49.27,42.13,37.31,46.76,37.16,27.6,22.95
2015-02-11,41.81,69.73622164999999,56.38,46.08,73.57,19.65910104,50.15,76.997128,49.5,42.11,37.22,46.84,36.98,27.52,22.61
2015-02-12,42.38,69.98460539999999,56.91,45.87,74.44,19.853986799999998,51.01,78.00692640000001,49.73,42.71,38.2,47.16,37.64,27.98,22.75
